Comment,Designator,Footprint,LCSC Part #
"CR1220","BT1","CR1220-2","C70381"
"10nF","C1, C13, C14, C26, C27","C0603","C57112"
"10uF","C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25","C0805","C15850"
"100n","C28, C772","C0603","C14663"
"B5819W","D1, D2, D101, D107, D416, D417","SOD-123","C8598"
"1N4148WS","D3, D410, D412, D413, D414","SOD-323","C2128"
"50mA","F1, F2, F3","Fuse_0603_1608Metric","C369141"
"12H1500D","F4, F5, F6, F7","PAD-1206-PAD","C182446"
"RUSEFI_LOGO","G1","rusefi_logo",""
"LOGO","G2","LOGO",""
"BTS4175SGA","IC1","SOIC127P600X175-8N","C152451"
"IFX9201SGAUMA1","IC2, IC3","PG-DSO-12-17","C112633"
"64334-0100","J1","643340100","C293657"
"USB","J2","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","C5305780"
"4.7k","R1, R2, R3, R4, R8, R9, R10, R11, R12, R13","R0603","C23162"
"10k","R5, R6, R7, R102, R103, R105, R107, R108, R109, R121, R124, R126, R127, R128, R132, R135, R136, R137, R138, R139, R141, R142, R228, R229, R230, R231, R232, R233, R234, R235, R246, R247, R248, R249, R250, R251, R252, R253, R421, R426, R427","R0402","C25744"
"33k","R14, R120","R0603","C4216"
"6.8k","R15","R0603","C23212"
"0","R16","PAD-0805-PAD","C17477"
"VR+","TP1","TestPoint_Pad_D1.0mm",""
"CRANK","TP3","TestPoint_Pad_D1.0mm",""
"CAM","TP4","TestPoint_Pad_D1.0mm",""
"CANH","TP5","TestPoint_Pad_D1.0mm",""
"CANL","TP6","TestPoint_Pad_D1.0mm",""
"VBUS","TP7","TestPoint_Pad_D1.0mm",""
"+5V","TP8","TestPoint_Pad_D1.0mm",""
"+5VP","TP9","TestPoint_Pad_D1.0mm",""
"+5VA","TP10","TestPoint_Pad_D1.0mm",""
"+3.3V","TP11","TestPoint_Pad_D1.0mm",""
"+3.3VA","TP12","TestPoint_Pad_D1.0mm",""
"GND","TP13","TestPoint_Pad_D2.0mm",""
"GNDA","TP14","TestPoint_Pad_D1.0mm",""
"JDY-33","U1","JDY-33","C9900001612"
"VNLD5160TR-E","U2, U3, U4","SO8","C377942"
"TJA1051T/3/1J","U100","SO8","C38695"
"STM32F429VGT6","U105","LQFP100","C95448"
"SRV05-4-P-T7","D102, D200, D202, D203, D206","SOT23-6","C85364"
"SN74LVC4245APWR","U103","TSSOP24","C7859"
"SN74LVC1G06DCKR","U110","SOT-353","C7828"
"SMD1206B035TF/16","F100, F101","R1206","C269114"
"REF3033","U102","SOT-23","C36658"
"PESD1CAN","D100","SOT-23","C343993"
"P6SMB6.8CA","D205, D421","SMB","C78395"
"Molex MicroSD 47219-2001","J100","SDAMB-012","C164170"
"MCP6004","U180, U185, U190, U195","TSSOP14","C50282"
"LPS22HBTR","U107","HLGA-10L","C94049"
"LIS2DH12TR","U106","LGA12","C110926"
"LED-YELLOW-0603","D106","LED-0603","C72038"
"LED-RED-0603","D103","LED-0603","C2286"
"LED-GREEN-0603","D104, D108, D771","LED-0603","C72043"
"LED-BLUE-0603","D105, D109, D110, D111, D112, D113, D114, D115, D116","LED-0603","C72041"
"LDL1117S33R","U101","SOT-223","C435835"
"BTN","S100, S101","SMD-2_2.9x3.9x1.7","C115357"
"BLM18AG601SN1D","L100","L0603","C19330"
