Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,35.05mm,48.949858mm,Bottom,90.0,35.05mm,48.949858mm
C2,6.600045mm,57.080002mm,Bottom,-90.0,6.600045mm,57.080002mm
C3,8.55003mm,57.080002mm,Bottom,-90.0,8.55003mm,57.080002mm
C4,10.500015mm,57.080002mm,Bottom,-90.0,10.500015mm,57.080002mm
C5,12.45mm,57.080002mm,Bottom,-90.0,12.45mm,57.080002mm
C6,14.450079mm,53.664993mm,Bottom,90.0,14.450079mm,53.664993mm
C7,14.450079mm,57.064993mm,Bottom,-90.0,14.450079mm,57.064993mm
C8,16.350079mm,57.080002mm,Bottom,-90.0,16.350079mm,57.080002mm
C9,6.600045mm,53.650000mm,Bottom,90.0,6.600045mm,53.650000mm
C10,8.55003mm,53.650000mm,Bottom,90.0,8.55003mm,53.650000mm
C11,10.500015mm,53.650000mm,Bottom,90.0,10.500015mm,53.650000mm
C12,12.45mm,53.650000mm,Bottom,90.0,12.45mm,53.650000mm
C15,14.65mm,44.450000mm,Bottom,90.0,14.65mm,44.450000mm
C16,6.85003mm,47.950000mm,Bottom,-90.0,6.85003mm,47.950000mm
C17,8.800015mm,47.950000mm,Bottom,-90.0,8.800015mm,47.950000mm
C18,10.75mm,47.950000mm,Bottom,-90.0,10.75mm,47.950000mm
C19,12.699985mm,47.950000mm,Bottom,-90.0,12.699985mm,47.950000mm
C20,14.64997mm,47.950000mm,Bottom,-90.0,14.64997mm,47.950000mm
C21,12.65mm,44.450000mm,Bottom,90.0,12.65mm,44.450000mm
C22,16.45mm,47.950000mm,Bottom,-90.0,16.45mm,47.950000mm
C23,6.85003mm,44.519998mm,Bottom,90.0,6.85003mm,44.519998mm
C24,8.800015mm,44.519998mm,Bottom,90.0,8.800015mm,44.519998mm
C25,10.75mm,44.519998mm,Bottom,90.0,10.75mm,44.519998mm
C28,54.95mm,39.850000mm,Bottom,0.0,54.95mm,39.850000mm
U1,65.85mm,47.812500mm,Bottom,90.0,65.85mm,47.812500mm
C1,58.315000mm,45.500000mm,Top,90.0,58.315000mm,45.500000mm
C13,3.559999mm,58.050000mm,Top,0.0,3.559999mm,58.050000mm
C14,3.559999mm,56.750000mm,Top,0.0,3.559999mm,56.750000mm
C26,3.459999mm,48.850000mm,Top,0.0,3.459999mm,48.850000mm
C27,3.459999mm,47.550000mm,Top,0.0,3.459999mm,47.550000mm
D1,34.250000mm,57.750000mm,Top,90.0,34.250000mm,57.750000mm
D2,31.250000mm,57.750000mm,Top,90.0,31.250000mm,57.750000mm
D3,26.848502mm,26.162502mm,Top,180.0,26.848502mm,26.162502mm
F1,62.605000mm,51.300000mm,Top,-90.0,62.605000mm,51.300000mm
F2,64.515000mm,51.287500mm,Top,-90.0,64.515000mm,51.287500mm
F3,66.315000mm,51.300000mm,Top,-90.0,66.315000mm,51.300000mm
F4,20.350000mm,57.850000mm,Top,-90.0,20.350000mm,57.850000mm
F5,22.850000mm,57.850000mm,Top,-90.0,22.850000mm,57.850000mm
F6,26.350000mm,57.850000mm,Top,-90.0,26.350000mm,57.850000mm
F7,28.750000mm,57.850000mm,Top,-90.0,28.750000mm,57.850000mm
G1,75.850000mm,75.150000mm,Top,0.0,75.850000mm,75.150000mm
G2,5.823830mm,26.494279mm,Top,90.0,5.823830mm,26.494279mm
IC1,58.450000mm,51.375000mm,Top,0.0,58.450000mm,51.375000mm
IC2,11.550000mm,55.550000mm,Top,180.0,11.550000mm,55.550000mm
IC3,11.550000mm,46.350000mm,Top,180.0,11.550000mm,46.350000mm
J1,50.200000mm,65.650000mm,Top,180.0,50.200000mm,65.650000mm
J2,24.200000mm,43.350000mm,Top,90.0,24.200000mm,43.350000mm
M1,69.249990mm,3.950000mm,Top,90.0,69.249990mm,3.950000mm
M2,26.812500mm,38.050000mm,Top,180.0,26.812500mm,38.050000mm
M3,11.674999mm,4.074999mm,Top,0.0,11.674999mm,4.074999mm
R1,44.730000mm,45.325000mm,Top,90.0,44.730000mm,45.325000mm
R2,47.330000mm,45.425000mm,Top,90.0,47.330000mm,45.425000mm
R3,50.650000mm,45.425000mm,Top,90.0,50.650000mm,45.425000mm
R4,53.250000mm,45.425000mm,Top,90.0,53.250000mm,45.425000mm
R5,55.150000mm,45.475000mm,Top,90.0,55.150000mm,45.475000mm
R6,56.715000mm,45.500000mm,Top,90.0,56.715000mm,45.500000mm
R7,61.515000mm,45.500000mm,Top,90.0,61.515000mm,45.500000mm
R8,59.915000mm,45.500000mm,Top,90.0,59.915000mm,45.500000mm
R9,38.790000mm,45.323405mm,Top,90.0,38.790000mm,45.323405mm
R10,41.290000mm,45.325000mm,Top,90.0,41.290000mm,45.325000mm
R11,3.550000mm,54.150000mm,Top,180.0,3.550000mm,54.150000mm
R12,3.450000mm,44.950000mm,Top,180.0,3.450000mm,44.950000mm
R13,28.050000mm,33.250000mm,Top,90.0,28.050000mm,33.250000mm
R14,71.150000mm,24.850000mm,Top,0.0,71.150000mm,24.850000mm
R15,71.150000mm,23.450000mm,Top,180.0,71.150000mm,23.450000mm
R16,25.950000mm,2.250000mm,Top,0.0,25.950000mm,2.250000mm
U2,46.650000mm,51.350000mm,Top,0.0,46.650000mm,51.350000mm
U3,52.550000mm,51.350000mm,Top,0.0,52.550000mm,51.350000mm
U4,40.725000mm,51.300000mm,Top,0.0,40.725000mm,51.300000mm
