Designator,Mid X,Mid Y,Layer,Rotation
BT1,34.7mm,48.599858mm,Bottom,90.0
C2,6.250045mm,56.730002mm,Bottom,270.0
C3,8.20003mm,56.730002mm,Bottom,270.0
C4,10.150015mm,56.730002mm,Bottom,270.0
C5,12.1mm,56.730002mm,Bottom,270.0
C6,14.100079mm,53.314993mm,Bottom,90.0
C7,14.100079mm,56.714993mm,Bottom,270.0
C8,16.000079mm,56.730002mm,Bottom,270.0
C9,6.250045mm,53.3mm,Bottom,90.0
C10,8.20003mm,53.3mm,Bottom,90.0
C11,10.150015mm,53.3mm,Bottom,90.0
C12,12.1mm,53.3mm,Bottom,90.0
C15,14.3mm,44.1mm,Bottom,90.0
C16,6.50003mm,47.6mm,Bottom,270.0
C17,8.450015mm,47.6mm,Bottom,270.0
C18,10.4mm,47.6mm,Bottom,270.0
C19,12.349985mm,47.6mm,Bottom,270.0
C20,14.29997mm,47.6mm,Bottom,270.0
C21,12.3mm,44.1mm,Bottom,90.0
C22,16.1mm,47.6mm,Bottom,270.0
C23,6.50003mm,44.169998mm,Bottom,90.0
C24,8.450015mm,44.169998mm,Bottom,90.0
C25,10.4mm,44.169998mm,Bottom,90.0
Q3,46.875mm,56.115mm,Bottom,270.0
Q4,55.3mm,56.1mm,Bottom,270.0
R3,51.0775mm,50.975mm,Bottom,270.0
R4,59.5mm,50.985mm,Bottom,270.0
C1,61.93mm,44.95mm,Top,90.0
C13,3.209999mm,57.7mm,Top,0.0
C14,3.209999mm,56.4mm,Top,0.0
C26,3.109999mm,48.5mm,Top,0.0
C27,3.109999mm,47.2mm,Top,0.0
C29,55.6mm,46.8mm,Top,90.0
C30,55.6mm,43.5mm,Top,270.0
D1,33.9mm,57.4mm,Top,90.0
D2,30.9mm,57.4mm,Top,90.0
D3,26.498502mm,25.812502mm,Top,180.0
F1,65.69mm,50.8875mm,Top,270.0
F2,67.6mm,50.875mm,Top,270.0
F3,69.4mm,50.8875mm,Top,270.0
F4,20.0mm,57.5mm,Top,270.0
F5,22.5mm,57.5mm,Top,270.0
F6,26.0mm,57.5mm,Top,270.0
F7,28.4mm,57.5mm,Top,270.0
G1,4.5mm,75.0mm,Top,0.0
G2,5.47383mm,26.144279mm,Top,90.0
IC1,62.065mm,50.825mm,Top,0.0
IC2,11.2mm,55.2mm,Top,180.0
IC3,11.2mm,46.0mm,Top,180.0
J1,49.85mm,65.3mm,Top,180.0
J2,23.85mm,43.0mm,Top,90.0
Q1,46.875mm,56.04mm,Top,270.0
Q2,55.4025mm,56.14mm,Top,270.0
R1,44.6mm,48.9mm,Top,0.0
R2,51.1mm,50.9mm,Top,270.0
R5,59.365mm,44.925mm,Top,90.0
R6,60.665mm,44.95mm,Top,90.0
R7,65.13mm,44.95mm,Top,90.0
R8,63.53mm,44.95mm,Top,90.0
R9,38.44mm,44.973405mm,Top,90.0
R10,40.94mm,44.975mm,Top,90.0
R11,3.2mm,53.8mm,Top,180.0
R12,3.1mm,44.6mm,Top,180.0
R13,27.7mm,32.9mm,Top,90.0
R14,70.8mm,24.5mm,Top,0.0
R15,70.8mm,23.1mm,Top,180.0
R16,25.6mm,1.9mm,Top,0.0
R21,39.7mm,45.0mm,Top,270.0
R22,42.2mm,45.0mm,Top,270.0
U2,50.58mm,44.32mm,Top,90.0
U4,40.375mm,50.95mm,Top,0.0
R148,34.69999mm,15.4mm,Bottom,270.0
R142,33.79999mm,16.8mm,Bottom,270.0
U108,66.89099mm,32.980199999999996mm,Top,90.0
VD103,62.304990000000004mm,35.800000000000004mm,Bottom,0.0
U101,37.453590000000005mm,7.75mm,Top,0.0
C119,42.18059mm,15.4001mm,Bottom,90.0
R147,34.38369mm,24.4116mm,Bottom,90.0
R146,35.79999mm,4.7339mm,Bottom,0.0
R141,33.79999mm,17.8mm,Bottom,270.0
U102,39.171490000000006mm,12.8565mm,Bottom,270.0
R109,39.76719mm,12.9163mm,Top,270.0
R108,40.15599mm,10.0mm,Bottom,270.0
Q103,37.703190000000006mm,13.6428mm,Top,270.0
Q102,35.099990000000005mm,18.195mm,Top,270.0
Q101,34.864990000000006mm,12.4725mm,Bottom,90.0
Q100,37.50499000000001mm,9.1mm,Bottom,0.0
L100,53.54999mm,18.9994mm,Bottom,270.0
F100,34.871590000000005mm,20.855mm,Bottom,270.0
C120,53.70049mm,17.1001mm,Top,90.0
