Comment,Designator,Footprint,LCSC Part #
"CR1220","BT1","CR1220-2","C70381"
"10nF","C1","C0603","C57112"
"10uF","C2","C0805","C15850"
"10uF","C3","C0805","C15850"
"10uF","C4","C0805","C15850"
"10uF","C5","C0805","C15850"
"10uF","C6","C0805","C15850"
"10uF","C7","C0805","C15850"
"10uF","C8","C0805","C15850"
"10uF","C9","C0805","C15850"
"10uF","C10","C0805","C15850"
"10uF","C11","C0805","C15850"
"10uF","C12","C0805","C15850"
"10nF","C13","C0603","C57112"
"10nF","C14","C0603","C57112"
"10uF","C15","C0805","C15850"
"10uF","C16","C0805","C15850"
"10uF","C17","C0805","C15850"
"10uF","C18","C0805","C15850"
"10uF","C19","C0805","C15850"
"10uF","C20","C0805","C15850"
"10uF","C21","C0805","C15850"
"10uF","C22","C0805","C15850"
"10uF","C23","C0805","C15850"
"10uF","C24","C0805","C15850"
"10uF","C25","C0805","C15850"
"10nF","C26","C0603","C57112"
"10nF","C27","C0603","C57112"
"100n","C29","C0603","C14663"
"100n","C30","C0603","C14663"
"B5819W","D1","SOD-123","C8598"
"B5819W","D2","SOD-123","C8598"
"1N4148WS","D3","SOD-323","C2128"
"50mA","F1","Fuse_0603_1608Metric","C369141"
"50mA","F2","Fuse_0603_1608Metric","C369141"
"50mA","F3","Fuse_0603_1608Metric","C369141"
"12H1500D","F4","PAD-1206-PAD","C182446"
"12H1500D","F5","PAD-1206-PAD","C182446"
"12H1500D","F6","PAD-1206-PAD","C182446"
"12H1500D","F7","PAD-1206-PAD","C182446"
"RUSEFI_LOGO","G1","rusefi_logo",""
"LOGO","G2","LOGO",""
"BTS4175SGA","IC1","SOIC127P600X175-8N","C152451"
"IFX9201SGAUMA1","IC2","PG-DSO-12-17","C112633"
"IFX9201SGAUMA1","IC3","PG-DSO-12-17","C112633"
"64334-0100","J1","643340100","C293657"
"USB","J2","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","C5305780"
"Module:mega-mcu100/0.3","M1","mega-mcu100",""
"Module:vr-max9924/0.1","M2","vr-max9924",""
"Module:power_12and5V/0.2","M3","power_12and5V",""
"VND14NV04TR-E","Q1","DPAK","C2649436"
"VND14NV04TR-E","Q2","DPAK","C2649436"
"VND14NV04TR-E","Q3","DPAK","C2649436"
"VND14NV04TR-E","Q4","DPAK","C2649436"
"4.7k","R1","R0603","C23162"
"4.7k","R2","R0603","C23162"
"4.7k","R3","R0603","C23162"
"4.7k","R4","R0603","C23162"
"150","R5","R0603","C325755"
"0R","R6","R0603","C2770782"
"15k","R7","R0603","C881094"
"4.7k","R8","R0603","C23162"
"4.7k","R9","R0603","C23162"
"4.7k","R10","R0603","C23162"
"4.7k","R11","R0603","C23162"
"4.7k","R12","R0603","C23162"
"4.7k","R13","R0603","C23162"
"33k","R14","R0603","C4216"
"6.8k","R15","R0603","C23212"
"0","R16","PAD-0805-PAD","C17477"
"4.7k","R21","R0603","C23162"
"4.7k","R22","R0603","C23162"
"VR+","TP1","TestPoint_Pad_D1.0mm",""
"CRANK","TP3","TestPoint_Pad_D1.0mm",""
"CAM","TP4","TestPoint_Pad_D1.0mm",""
"CANH","TP5","TestPoint_Pad_D1.0mm",""
"CANL","TP6","TestPoint_Pad_D1.0mm",""
"VBUS","TP7","TestPoint_Pad_D1.0mm",""
"+5V","TP8","TestPoint_Pad_D1.0mm",""
"+5VP","TP9","TestPoint_Pad_D1.0mm",""
"+5VA","TP10","TestPoint_Pad_D1.0mm",""
"+3.3V","TP11","TestPoint_Pad_D1.0mm",""
"+3.3VA","TP12","TestPoint_Pad_D1.0mm",""
"GND","TP13","TestPoint_Pad_D2.0mm",""
"GNDA","TP14","TestPoint_Pad_D1.0mm",""
"SN74LVC4245APWR","U2","TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL",""
"VNLD5160TR-E","U4","SO8","C377942"
