Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,34.7mm,48.599858mm,Bottom,90.0,34.7mm,48.599858mm
C2,6.250045mm,56.730002mm,Bottom,-90.0,6.250045mm,56.730002mm
C3,8.20003mm,56.730002mm,Bottom,-90.0,8.20003mm,56.730002mm
C4,10.150015mm,56.730002mm,Bottom,-90.0,10.150015mm,56.730002mm
C5,12.1mm,56.730002mm,Bottom,-90.0,12.1mm,56.730002mm
C6,14.100079mm,53.314993mm,Bottom,90.0,14.100079mm,53.314993mm
C7,14.100079mm,56.714993mm,Bottom,-90.0,14.100079mm,56.714993mm
C8,16.000079mm,56.730002mm,Bottom,-90.0,16.000079mm,56.730002mm
C9,6.250045mm,53.300000mm,Bottom,90.0,6.250045mm,53.300000mm
C10,8.20003mm,53.300000mm,Bottom,90.0,8.20003mm,53.300000mm
C11,10.150015mm,53.300000mm,Bottom,90.0,10.150015mm,53.300000mm
C12,12.1mm,53.300000mm,Bottom,90.0,12.1mm,53.300000mm
C15,14.3mm,44.100000mm,Bottom,90.0,14.3mm,44.100000mm
C16,6.50003mm,47.600000mm,Bottom,-90.0,6.50003mm,47.600000mm
C17,8.450015mm,47.600000mm,Bottom,-90.0,8.450015mm,47.600000mm
C18,10.4mm,47.600000mm,Bottom,-90.0,10.4mm,47.600000mm
C19,12.349985mm,47.600000mm,Bottom,-90.0,12.349985mm,47.600000mm
C20,14.29997mm,47.600000mm,Bottom,-90.0,14.29997mm,47.600000mm
C21,12.3mm,44.100000mm,Bottom,90.0,12.3mm,44.100000mm
C22,16.1mm,47.600000mm,Bottom,-90.0,16.1mm,47.600000mm
C23,6.50003mm,44.169998mm,Bottom,90.0,6.50003mm,44.169998mm
C24,8.450015mm,44.169998mm,Bottom,90.0,8.450015mm,44.169998mm
C25,10.4mm,44.169998mm,Bottom,90.0,10.4mm,44.169998mm
Q3,46.875mm,56.115000mm,Bottom,270.0,46.875mm,56.115000mm
Q4,55.3mm,56.100000mm,Bottom,270.0,55.3mm,56.100000mm
R3,51.0775mm,50.975000mm,Bottom,-90.0,51.0775mm,50.975000mm
R4,59.5mm,50.985000mm,Bottom,-90.0,59.5mm,50.985000mm
C1,61.930000mm,44.950000mm,Top,90.0,61.930000mm,44.950000mm
C13,3.209999mm,57.700000mm,Top,0.0,3.209999mm,57.700000mm
C14,3.209999mm,56.400000mm,Top,0.0,3.209999mm,56.400000mm
C26,3.109999mm,48.500000mm,Top,0.0,3.109999mm,48.500000mm
C27,3.109999mm,47.200000mm,Top,0.0,3.109999mm,47.200000mm
C29,55.600000mm,46.800000mm,Top,90.0,55.600000mm,46.800000mm
C30,55.600000mm,43.500000mm,Top,-90.0,55.600000mm,43.500000mm
D1,33.900000mm,57.400000mm,Top,90.0,33.900000mm,57.400000mm
