Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,34.7mm,48.599858mm,Bottom,90.0,34.7mm,48.599858mm
C1,61.5mm,49.525000mm,Bottom,90.0,61.5mm,49.525000mm
C2,6.250045mm,56.730002mm,Bottom,-90.0,6.250045mm,56.730002mm
C3,8.20003mm,56.730002mm,Bottom,-90.0,8.20003mm,56.730002mm
C4,10.150015mm,56.730002mm,Bottom,-90.0,10.150015mm,56.730002mm
C5,12.1mm,56.730002mm,Bottom,-90.0,12.1mm,56.730002mm
C6,14.100079mm,53.314993mm,Bottom,90.0,14.100079mm,53.314993mm
C7,14.100079mm,56.714993mm,Bottom,-90.0,14.100079mm,56.714993mm
C8,16.000079mm,56.730002mm,Bottom,-90.0,16.000079mm,56.730002mm
C9,6.250045mm,53.300000mm,Bottom,90.0,6.250045mm,53.300000mm
C10,8.20003mm,53.300000mm,Bottom,90.0,8.20003mm,53.300000mm
C11,10.150015mm,53.300000mm,Bottom,90.0,10.150015mm,53.300000mm
C12,12.1mm,53.300000mm,Bottom,90.0,12.1mm,53.300000mm
C15,14.3mm,44.100000mm,Bottom,90.0,14.3mm,44.100000mm
C16,6.50003mm,47.600000mm,Bottom,-90.0,6.50003mm,47.600000mm
C17,8.450015mm,47.600000mm,Bottom,-90.0,8.450015mm,47.600000mm
C18,10.4mm,47.600000mm,Bottom,-90.0,10.4mm,47.600000mm
C19,12.349985mm,47.600000mm,Bottom,-90.0,12.349985mm,47.600000mm
C20,14.29997mm,47.600000mm,Bottom,-90.0,14.29997mm,47.600000mm
C21,12.3mm,44.100000mm,Bottom,90.0,12.3mm,44.100000mm
C22,16.1mm,47.600000mm,Bottom,-90.0,16.1mm,47.600000mm
C23,6.50003mm,44.169998mm,Bottom,90.0,6.50003mm,44.169998mm
C24,8.450015mm,44.169998mm,Bottom,90.0,8.450015mm,44.169998mm
C25,10.4mm,44.169998mm,Bottom,90.0,10.4mm,44.169998mm
D1,25.5mm,73.300000mm,Bottom,0.0,25.5mm,73.300000mm
D2,25.5mm,75.600000mm,Bottom,0.0,25.5mm,75.600000mm
IC1,61.5mm,55.000000mm,Bottom,0.0,61.5mm,55.000000mm
R5,64.2mm,49.500000mm,Bottom,90.0,64.2mm,49.500000mm
R6,62.9mm,49.525000mm,Bottom,90.0,62.9mm,49.525000mm
R7,58.435mm,49.525000mm,Bottom,90.0,58.435mm,49.525000mm
R8,60.035mm,49.525000mm,Bottom,90.0,60.035mm,49.525000mm
R9,54.835mm,49.523405mm,Bottom,90.0,54.835mm,49.523405mm
R10,52.335mm,49.525000mm,Bottom,90.0,52.335mm,49.525000mm
R21,53.575mm,49.550000mm,Bottom,-90.0,53.575mm,49.550000mm
R22,51.075mm,49.550000mm,Bottom,-90.0,51.075mm,49.550000mm
R23,47.4mm,49.500000mm,Bottom,90.0,47.4mm,49.500000mm
R24,44.8mm,49.500000mm,Bottom,90.0,44.8mm,49.500000mm
R25,46.1mm,49.500000mm,Bottom,-90.0,46.1mm,49.500000mm
R26,43.5mm,49.500000mm,Bottom,-90.0,43.5mm,49.500000mm
U3,45.4mm,55.500000mm,Bottom,0.0,45.4mm,55.500000mm
U4,52.9mm,55.500000mm,Bottom,0.0,52.9mm,55.500000mm
C13,3.209999mm,57.700000mm,Top,0.0,3.209999mm,57.700000mm
C14,3.209999mm,56.400000mm,Top,0.0,3.209999mm,56.400000mm
C26,3.109999mm,48.500000mm,Top,0.0,3.109999mm,48.500000mm
C27,3.109999mm,47.200000mm,Top,0.0,3.109999mm,47.200000mm
D3,26.498502mm,25.812502mm,Top,180.0,26.498502mm,25.812502mm
F1,65.690000mm,50.887500mm,Top,-90.0,65.690000mm,50.887500mm
F2,67.600000mm,50.875000mm,Top,-90.0,67.600000mm,50.875000mm
F3,69.400000mm,50.887500mm,Top,-90.0,69.400000mm,50.887500mm
F4,20.000000mm,57.500000mm,Top,-90.0,20.000000mm,57.500000mm
F5,22.500000mm,57.500000mm,Top,-90.0,22.500000mm,57.500000mm
F6,26.000000mm,57.500000mm,Top,-90.0,26.000000mm,57.500000mm
F7,28.400000mm,57.500000mm,Top,-90.0,28.400000mm,57.500000mm
G1,4.500000mm,75.000000mm,Top,0.0,4.500000mm,75.000000mm
G2,5.473830mm,26.144279mm,Top,90.0,5.473830mm,26.144279mm
IC2,11.200000mm,55.200000mm,Top,180.0,11.200000mm,55.200000mm
IC3,11.200000mm,46.000000mm,Top,180.0,11.200000mm,46.000000mm
J1,49.850000mm,65.300000mm,Top,180.0,49.850000mm,65.300000mm
J2,23.850000mm,43.000000mm,Top,90.0,23.850000mm,43.000000mm
M1,68.899990mm,3.600000mm,Top,90.0,68.899990mm,3.600000mm
M2,26.462500mm,37.700000mm,Top,180.0,26.462500mm,37.700000mm
M3,11.324999mm,3.724999mm,Top,0.0,11.324999mm,3.724999mm
R1,44.500000mm,43.940000mm,Top,0.0,44.500000mm,43.940000mm
R2,41.000000mm,43.940000mm,Top,0.0,41.000000mm,43.940000mm
R3,37.400000mm,43.940000mm,Top,0.0,37.400000mm,43.940000mm
R4,48.100000mm,43.940000mm,Top,0.0,48.100000mm,43.940000mm
R11,3.200000mm,53.800000mm,Top,180.0,3.200000mm,53.800000mm
R12,3.100000mm,44.600000mm,Top,180.0,3.100000mm,44.600000mm
R13,27.700000mm,32.900000mm,Top,90.0,27.700000mm,32.900000mm
R14,70.800000mm,24.500000mm,Top,0.0,70.800000mm,24.500000mm
R15,70.800000mm,23.100000mm,Top,180.0,70.800000mm,23.100000mm
R16,25.600000mm,1.900000mm,Top,0.0,25.600000mm,1.900000mm
R17,51.500000mm,43.940000mm,Top,0.0,51.500000mm,43.940000mm
R18,58.500000mm,43.940000mm,Top,0.0,58.500000mm,43.940000mm
R19,55.100000mm,43.940000mm,Top,0.0,55.100000mm,43.940000mm
R20,62.100000mm,43.940000mm,Top,0.0,62.100000mm,43.940000mm
U1,46.300000mm,49.540000mm,Top,-90.0,46.300000mm,49.540000mm
U2,53.300000mm,49.540000mm,Top,-90.0,53.300000mm,49.540000mm
U5,39.200000mm,49.580000mm,Top,-90.0,39.200000mm,49.580000mm
U6,60.300000mm,49.540000mm,Top,-90.0,60.300000mm,49.540000mm
