Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR1220","CR1220-2",-34.700000,48.599858,90.000000,bottom
"C1","10nF","C0603",-61.500000,49.525000,90.000000,bottom
"C2","10uF","C0805",-6.250045,56.730002,-90.000000,bottom
"C3","10uF","C0805",-8.200030,56.730002,-90.000000,bottom
"C4","10uF","C0805",-10.150015,56.730002,-90.000000,bottom
"C5","10uF","C0805",-12.100000,56.730002,-90.000000,bottom
"C6","10uF","C0805",-14.100079,53.314993,90.000000,bottom
"C7","10uF","C0805",-14.100079,56.714993,-90.000000,bottom
"C8","10uF","C0805",-16.000079,56.730002,-90.000000,bottom
"C9","10uF","C0805",-6.250045,53.300000,90.000000,bottom
"C10","10uF","C0805",-8.200030,53.300000,90.000000,bottom
"C11","10uF","C0805",-10.150015,53.300000,90.000000,bottom
"C12","10uF","C0805",-12.100000,53.300000,90.000000,bottom
"C15","10uF","C0805",-14.300000,44.100000,90.000000,bottom
"C16","10uF","C0805",-6.500030,47.600000,-90.000000,bottom
"C17","10uF","C0805",-8.450015,47.600000,-90.000000,bottom
"C18","10uF","C0805",-10.400000,47.600000,-90.000000,bottom
"C19","10uF","C0805",-12.349985,47.600000,-90.000000,bottom
"C20","10uF","C0805",-14.299970,47.600000,-90.000000,bottom
"C21","10uF","C0805",-12.300000,44.100000,90.000000,bottom
"C22","10uF","C0805",-16.100000,47.600000,-90.000000,bottom
"C23","10uF","C0805",-6.500030,44.169998,90.000000,bottom
"C24","10uF","C0805",-8.450015,44.169998,90.000000,bottom
"C25","10uF","C0805",-10.400000,44.169998,90.000000,bottom
"D1","B5819W","SOD-123",-25.500000,73.300000,0.000000,bottom
"D2","B5819W","SOD-123",-25.500000,75.600000,0.000000,bottom
"IC1","BTS4175SGA","SOIC127P600X175-8N",-61.500000,55.000000,90.000000,bottom
"R5","150","R0603",-64.200000,49.500000,90.000000,bottom
"R6","0R","R0603",-62.900000,49.525000,90.000000,bottom
"R7","15k","R0603",-58.435000,49.525000,90.000000,bottom
