"Comment","Designator","Footprint","LCSC Part #"
"CR1220","BT1","Hellen:CR1220-2","C70381"
"10nF","C1","Hellen:C0603","C57112"
"10uF","C2","Hellen:C0805","C15850"
"10uF","C3","Hellen:C0805","C15850"
"10uF","C4","Hellen:C0805","C15850"
"10uF","C5","Hellen:C0805","C15850"
"10uF","C6","Hellen:C0805","C15850"
"10uF","C7","Hellen:C0805","C15850"
"10uF","C8","Hellen:C0805","C15850"
"10uF","C9","Hellen:C0805","C15850"
"10uF","C10","Hellen:C0805","C15850"
"10uF","C11","Hellen:C0805","C15850"
"10uF","C12","Hellen:C0805","C15850"
"10nF","C13","Hellen:C0603","C57112"
"10nF","C14","Hellen:C0603","C57112"
"10uF","C15","Hellen:C0805","C15850"
"10uF","C16","Hellen:C0805","C15850"
"10uF","C17","Hellen:C0805","C15850"
"10uF","C18","Hellen:C0805","C15850"
"10uF","C19","Hellen:C0805","C15850"
"10uF","C20","Hellen:C0805","C15850"
"10uF","C21","Hellen:C0805","C15850"
"10uF","C22","Hellen:C0805","C15850"
"10uF","C23","Hellen:C0805","C15850"
"10uF","C24","Hellen:C0805","C15850"
"10uF","C25","Hellen:C0805","C15850"
"10nF","C26","Hellen:C0603","C57112"
"10nF","C27","Hellen:C0603","C57112"
"100n","C28","Hellen:C0603","C14663"
"B5819W","D1","Hellen:SOD-123","C8598"
"B5819W","D2","Hellen:SOD-123","C8598"
"1N4148WS","D3","Hellen:SOD-323","C2128"
"50mA","F1","Fuse:Fuse_0603_1608Metric","C369141"
"50mA","F2","Fuse:Fuse_0603_1608Metric","C369141"
"50mA","F3","Fuse:Fuse_0603_1608Metric","C369141"
"12H1500D","F4","Hellen:PAD-1206-PAD","C182446"
"12H1500D","F5","Hellen:PAD-1206-PAD","C182446"
"12H1500D","F6","Hellen:PAD-1206-PAD","C182446"
"12H1500D","F7","Hellen:PAD-1206-PAD","C182446"
"RUSEFI_LOGO","G1","Hellen:rusefi_logo",""
"LOGO","G2","Hellen:LOGO",""
"BTS4175SGA","IC1","Hellen:SOIC127P600X175-8N","C152451"
"IFX9201SGAUMA1","IC2","Hellen:PG-DSO-12-17","C112633"
"IFX9201SGAUMA1","IC3","Hellen:PG-DSO-12-17","C112633"
"64334-0100","J1","Hellen:643340100","C293657"
"USB","J2","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","C5305780"
"Module:mega-mcu100/0.3","M1","Hellen:mega-mcu100",""
"Module-vr-max9924-0.1","M2","Hellen:vr-max9924",""
"Module-power_12and5V-0.2","M3","Hellen:power_12and5V",""
"4.7k","R1","Hellen:R0603","C23162"
"4.7k","R2","Hellen:R0603","C23162"
"4.7k","R3","Hellen:R0603","C23162"
"4.7k","R4","Hellen:R0603","C23162"
"150","R5","Hellen:R0603","C325755"
"0R","R6","Hellen:R0603","C2770782"
"15k","R7","Hellen:R0603","C881094"
"4.7k","R8","Hellen:R0603","C23162"
"4.7k","R9","Hellen:R0603","C23162"
"4.7k","R10","Hellen:R0603","C23162"
"4.7k","R11","Hellen:R0603","C23162"
"4.7k","R12","Hellen:R0603","C23162"
"4.7k","R13","Hellen:R0603","C23162"
"33k","R14","Hellen:R0603","C4216"
"6.8k","R15","Hellen:R0603","C23212"
"0","R16","Hellen:PAD-0805-PAD","C17477"
"4.7k","R17","Hellen:R0603","C23162"
"4.7k","R18","Hellen:R0603","C23162"
"4.7k","R19","Hellen:R0603","C23162"
"4.7k","R20","Hellen:R0603","C23162"
"4.7k","R21","Hellen:R0603","C23162"
"4.7k","R22","Hellen:R0603","C23162"
"VR+","TP1","TestPoint:TestPoint_Pad_D1.0mm",""
"CRANK","TP3","TestPoint:TestPoint_Pad_D1.0mm",""
"CAM","TP4","TestPoint:TestPoint_Pad_D1.0mm",""
"CANH","TP5","TestPoint:TestPoint_Pad_D1.0mm",""
"CANL","TP6","TestPoint:TestPoint_Pad_D1.0mm",""
"VBUS","TP7","TestPoint:TestPoint_Pad_D1.0mm",""
"+5V","TP8","TestPoint:TestPoint_Pad_D1.0mm",""
"+5VP","TP9","TestPoint:TestPoint_Pad_D1.0mm",""
"+5VA","TP10","TestPoint:TestPoint_Pad_D1.0mm",""
"+3.3V","TP11","TestPoint:TestPoint_Pad_D1.0mm",""
"+3.3VA","TP12","TestPoint:TestPoint_Pad_D1.0mm",""
"GND","TP13","TestPoint:TestPoint_Pad_D2.0mm",""
"GNDA","TP14","TestPoint:TestPoint_Pad_D1.0mm",""
"JDY-33","U1","Hellen:JDY-33","C9900001612"
"VNLD5160TR-E","U2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U4","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
